date,corridor,rate,log_return,rolling_vol_5,rolling_vol_20,abs_return,max_shock_5,garch_volatility,vol_percentile,fx_stress_regime,fx_regime_num,fx_slippage_bps,fx_risk_score
28-01-2016,INR_AED,18.5377808,0.00146994,0.003163035,0.010529131,0.00146994,0.004726047,0.740921171,0.101793505,LOW,0,3.05,10
29-01-2016,INR_AED,18.48059905,-0.003089373,0.002483425,0.010537585,0.003089373,0.003389085,0.73212446,0.095492002,LOW,0,2.86,10
02-02-2016,INR_AED,18.49421375,0.000736431,0.002353938,0.009291905,0.000736431,0.003389085,0.725219873,0.090644692,LOW,0,2.72,9
03-02-2016,INR_AED,18.35262083,-0.007685524,0.004399862,0.008756212,0.007685524,0.007685524,0.716389544,0.08434319,LOW,0,2.53,8
05-02-2016,INR_AED,18.06943499,-0.015550553,0.007014062,0.009406304,0.015550553,0.015550553,0.721411092,0.087736306,LOW,0,2.63,9
06-02-2016,INR_AED,18.3036079,0.012876357,0.010541012,0.0096481,0.012876357,0.015550553,0.767061404,0.118759089,LOW,0,3.56,12
08-02-2016,INR_AED,18.14840027,-0.008515776,0.010885118,0.009824032,0.008515776,0.015550553,0.792908514,0.141541444,LOW,0,4.25,14
09-02-2016,INR_AED,18.13478557,-0.000750469,0.01075562,0.009812918,0.000750469,0.015550553,0.797846183,0.145419292,LOW,0,4.36,15
11-02-2016,INR_AED,18.15112321,0.000900495,0.010690378,0.008099118,0.000900495,0.015550553,0.787493045,0.136694135,LOW,0,4.1,14
12-02-2016,INR_AED,18.52688904,0.020490695,0.011560154,0.007778684,0.020490695,0.020490695,0.777407403,0.128453708,LOW,0,3.85,13
15-02-2016,INR_AED,18.54867257,0.001175088,0.010721051,0.007522732,0.001175088,0.020490695,0.853763683,0.187590887,LOW,0,5.63,19
16-02-2016,INR_AED,18.64669843,0.005270876,0.008713035,0.007515768,0.005270876,0.020490695,0.842431523,0.181774115,LOW,0,5.45,18
17-02-2016,INR_AED,18.60585432,-0.002192823,0.008987833,0.007540066,0.002192823,0.020490695,0.836611392,0.178380999,LOW,0,5.35,18
18-02-2016,INR_AED,18.66303608,0.003068608,0.008782795,0.007555475,0.003068608,0.020490695,0.826321902,0.170140572,LOW,0,5.1,17
19-02-2016,INR_AED,18.66303608,0,0.002857717,0.007470265,0,0.005270876,0.817193543,0.165293262,LOW,0,4.96,17
22-02-2016,INR_AED,18.66031314,-0.000145911,0.002950697,0.007438129,0.000145911,0.005270876,0.806326053,0.15414445,LOW,0,4.62,15
23-02-2016,INR_AED,18.66575902,0.0002918,0.001878996,0.007337088,0.0002918,0.003068608,0.795684514,0.143965099,LOW,0,4.32,14
24-02-2016,INR_AED,18.66031314,-0.0002918,0.001405303,0.007330056,0.0002918,0.003068608,0.785274501,0.134755211,LOW,0,4.04,13
25-02-2016,INR_AED,18.7447243,0.004513366,0.002046162,0.007382036,0.004513366,0.004513366,0.7750789,0.126030053,LOW,0,3.78,13
26-02-2016,INR_AED,18.73927842,-0.000290571,0.002081003,0.007359881,0.000290571,0.004513366,0.769504336,0.121182744,LOW,0,3.64,12
29-02-2016,INR_AED,18.57317903,-0.008903219,0.004886492,0.00765594,0.008903219,0.008903219,0.759635404,0.112457586,LOW,0,3.37,11
02-03-2016,INR_AED,18.49421375,-0.00426064,0.00502273,0.007686004,0.00426064,0.008903219,0.767382264,0.119728551,LOW,0,3.59,12
03-03-2016,INR_AED,18.28454731,-0.011401619,0.006424703,0.008096134,0.011401619,0.011401619,0.761525737,0.114881241,LOW,0,3.45,11
